gpstime,lat,lon,alt,stdlat,stdlon,stdalt,roll,pitch,head,mntroll,mntpitch,mntyaw,quality,HDOP,numSV,sep
204019.5,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52886,-0.87342,19.02494,0.71,3.95,359.48,4,0.65,12,17.1
204019.7,24.9770186667,121.5511758333,24.1,0.039,0.046,0.51,0.51554,-0.89326,19.02636,0.71,3.95,359.48,4,0.65,12,17.1
204019.9,24.9770186667,121.5511758333,24.1,0.039,0.046,0.51,0.50779,-0.89397,19.02353,0.71,3.95,359.48,4,0.65,12,17.1
204020.0,24.9770186667,121.5511758333,24.1,0.039,0.046,0.51,0.50539,-0.89169,19.02391,0.71,3.95,359.48,4,0.65,12,17.1
204020.2,24.9770186667,121.5511758333,24.1,0.039,0.046,0.51,0.50618,-0.88164,19.02499,0.71,3.95,359.48,4,0.65,12,17.1
204020.3,24.9770186667,121.5511758333,24.1,0.039,0.046,0.51,0.53323,-0.87907,19.02702,0.71,3.95,359.48,4,0.65,12,17.1
204020.5,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.5348,-0.88565,19.02541,0.71,3.95,359.48,4,0.65,12,17.1
204020.6,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53385,-0.88671,19.02274,0.71,3.95,359.48,4,0.65,12,17.1
204020.8,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52696,-0.89012,19.02341,0.71,3.95,359.48,4,0.65,12,17.1
204020.9,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52667,-0.88914,19.02126,0.71,3.95,359.48,4,0.65,12,17.1
204021.1,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52172,-0.88256,19.02173,0.71,3.95,359.48,4,0.65,12,17.1
204021.3,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.51879,-0.88012,19.02257,0.71,3.95,359.48,4,0.65,12,17.1
204021.4,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52473,-0.86862,19.02378,0.71,3.95,359.48,4,0.65,12,17.1
204021.6,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52001,-0.85569,19.02721,0.71,3.95,359.48,4,0.65,12,17.1
204021.7,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52002,-0.851,19.02816,0.71,3.95,359.48,4,0.65,12,17.1
204021.9,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52115,-0.86176,19.02784,0.71,3.95,359.48,4,0.65,12,17.1
204022.0,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.515,-0.87489,19.02736,0.71,3.95,359.48,4,0.65,12,17.1
204022.2,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.51215,-0.86886,19.02961,0.71,3.95,359.48,4,0.65,12,17.1
